full_name,email,phone_number,city,insurance_type,lead_source,status,follow_up_date,created_at
Sean Miller,julia27@gmail.com,079.617.7519x333,Lake Derekborough,Home Insurance,Website,In Progress,2025-02-07,2025-01-12 03:51:17
Richard Miller,vjones@hotmail.com,661-798-1109,Cruzbury,Travel Insurance,Email Campaign,Hot,2025-02-09,2025-01-04 18:28:08
Derek Harrington,annelee@hotmail.com,001-201-371-8607x78765,Hoffmanmouth,Home Insurance,Online Ad,In Progress,2025-01-31,2025-01-06 08:43:25
Robert Cervantes,susan68@gmail.com,+1-183-239-2310x243,Vaughanbury,Travel Insurance,Email Campaign,Joined,2025-01-23,2025-01-03 08:38:45
Jason Becker,connor12@williamson.info,001-567-676-8174x56893,Bryantbury,Health Insurance,Online Ad,Pending,2025-02-13,2025-01-02 12:50:50
Jeanette Holland,dean75@hotmail.com,001-245-282-2229x342,Williamsport,Home Insurance,Website,Pending,2025-02-09,2025-01-09 14:38:29
Sara Webster,hollandmichael@yahoo.com,067.471.0504,East Jennifer,Car Insurance,Website,Cold,2025-02-06,2025-01-09 03:09:11
Jerry Clark,jamie44@roy-wallace.org,1895625962,Port Carlaberg,Health Insurance,Email Campaign,Joined,2025-01-22,2025-01-12 00:16:21
Kelsey Carter,angela87@hotmail.com,318.495.5017x904,Port Kevin,Car Insurance,Email Campaign,Pending,2025-01-25,2025-01-03 06:36:34
Garrett Campbell,pevans@rowland.com,665.873.4153x45042,Jonside,Car Insurance,Email Campaign,In Progress,2025-01-22,2025-01-05 16:11:36
Scott Campos,johnsjonathon@morgan-carter.biz,001-286-802-1214x447,North Darrellview,Life Insurance,Email Campaign,Joined,2025-01-26,2025-01-12 13:54:07
Mr. Jared Hart,johnrivas@bowen.org,3602264688,Tommyfurt,Car Insurance,Email Campaign,Cold,2025-02-11,2025-01-13 13:38:56
Joshua Rodriguez,michael23@melendez.info,(313)403-6270x98974,West Randy,Home Insurance,Social Media,Pending,2025-02-06,2025-01-01 10:37:20
Zachary Harvey,alexandria76@yahoo.com,001-306-807-0849x9077,New Carolinefort,Health Insurance,Referral,Pending,2025-01-17,2025-01-07 03:58:18
Adam Tyler,antoniosingleton@hotmail.com,2572987908,South Mariaburgh,Home Insurance,Email Campaign,Hot,2025-02-09,2025-01-13 07:27:07
