ID,Nama_Pelanggan,Produk,Rating,Ulasan,Tanggal
1,Andi Setiawan,Asuransi Jiwa,5,Sangat puas dengan layanan, sangat profesional dan cepat responnya!,2025-01-01
2,Siti Aisyah,Asuransi Kesehatan,4,Proses klaim mudah, namun layanan pelanggan bisa lebih baik,2025-01-02
3,Budi Santoso,Asuransi Mobil,3,Produk bagus, tapi harganya agak mahal untuk paket yang ditawarkan,2025-01-03
4,Ani Pratiwi,Asuransi Rumah,5,Layanan sangat baik dan cepat, proses administrasi sangat mudah,2025-01-04
5,Erwin Wijaya,Asuransi Kesehatan,4,Proses aplikasi mudah, tapi saya berharap lebih banyak pilihan rumah sakit,2025-01-05
6,Devi Susanti,Asuransi Jiwa,4,Produk cukup baik, tetapi sedikit bingung dengan beberapa ketentuan,2025-01-06
7,Reza Pratama,Asuransi Mobil,5,Proses klaim cepat dan mudah, saya sangat puas!,2025-01-07
8,Ilham Aziz,Asuransi Rumah,3,Pelayanan pelanggan yang lambat, proses klaim yang rumit,2025-01-08
9,Dina Putri,Asuransi Kesehatan,5,Saya merasa lebih aman dengan memiliki asuransi ini, pelayanan sangat memuaskan,2025-01-09
10,Nia Amalia,Asuransi Jiwa,4,Terbaik di kelasnya, namun bisa ditingkatkan lagi dalam aspek informasi detail,2025-01-10
11,Yogi Wijaya,Asuransi Mobil,5,Layanan yang sangat memadai, membantu saya saat mobil rusak parah,2025-01-11
12,Lina Dewi,Asuransi Rumah,4,Produk sangat baik, tetapi membutuhkan proses lebih cepat untuk klaim,2025-01-12
13,Arif Rahman,Asuransi Kesehatan,5,Proses sangat mudah, dan pelayanannya sangat ramah, saya sangat puas!,2025-01-13
14,Zahra Fadila,Asuransi Jiwa,4,Klaim yang cukup mudah, namun harga sedikit tinggi,2025-01-14
15,Agung Prasetyo,Asuransi Mobil,5,Sangat puas, proses klaim sangat cepat dan solusi diberikan sangat baik,2025-01-15
16,Susilo Adi,Asuransi Rumah,4,Proses klaim sedikit lama, tetapi setelah itu pelayanan sangat baik,2025-01-16
17,Hani Rahayu,Asuransi Kesehatan,5,Pelayanan pelanggan sangat baik, mereka selalu siap membantu kapan saja,2025-01-17
18,Donny Firdaus,Asuransi Jiwa,3,Layanan masih bisa ditingkatkan, ada beberapa hal yang membingungkan,2025-01-18
19,Eka Pratiwi,Asuransi Mobil,4,Produk ini sangat baik, namun saya merasa sedikit kebingungan dengan prosedur klaim,2025-01-19
20,Fauzi Ibrahim,Asuransi Rumah,5,Produk terbaik yang pernah saya coba, proses administrasi sangat cepat dan jelas,2025-01-20
